A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
1,1.5843646064,1.2724849758,0.9880151073,0.7512135989,0.609819571,0.5736094085,0.5742176901,0.615871989,0.7940804734,0.8447779896,0.6708138881,0.6005902723,0.5416820515,0.5441736655,0.6706187044,0.8959188709,1.1847933919,1.50535786,0.5141563782,0.3851856079,0.2804193553,0.2055267108,0.2804193553,0.3719291558,0.4858802271,0.3466670471,0.1891635777,0.1214476018,0.1868424643,0.358060562,0.429737668,0.1566025217,0.0373684929,0.1477119377,0.3928137862,0.1762668283,0.0938871764,0.1684175214,0.3269743126,0.3729929637,0.3729929637,0.3845442846,0.4037714989,0.6128629223,1.4913749657,0.6490562676,1.5794498795,0.6386019887,1.5540098517,0.6434768838,1.5658726945,0.6798083723,1.6542837738,1.6364261049,1.5732692352,1.5704276213,1.5843678902,1.4538659374,53,22,0.9097783737,53,13,0.9694515154,44,20,0.8907235428,43,20,0.8852495958,6.44668351753516E-05,8.73871777201636E-05,0.0001151307,0.0001352309,0.0001227735,7.79232643936361E-05,2.46144911294251E-05,-3.86040756767696E-05,-8.94285146096217E-05,6.82948150576408E-05,0.0001617037,0.000194392,0.000167565,0.0001084869,6.09305541234138E-05,3.29286960793776E-05,1.64803848682256E-05,-2.24384420134484E-05,-2.01871830689573E-05,-1.67933370943515E-05,-1.44178143558236E-05,-1.19624956704474E-05,-8.47519302926698E-06,-5.84565410003863E-06,-8.47519302926698E-06,-1.16314536713756E-05,-1.44178143558236E-05,-1.6947825915721E-05,-2.00473536382065E-05,-2.12770515538537E-05,-1.6947825915721E-05,-1.44178143558236E-05,-1.19624956704474E-05,-0.000007483,-0.000011797,-1.42561284466642E-05,-1.67933370943515E-05,0
2,1.4096591241,1.11717293,0.8536086735,0.6811073739,0.6362107051,0.6678807289,0.6786428435,0.7133237146,0.8774670217,0.8186752384,0.6682196687,0.6381296827,0.6261661524,0.6049788894,0.6555621991,0.8373255218,1.0902570557,1.3753493764,0.5237758035,0.3324112477,0.2172274263,0.1534555037,0.2303799094,0.3190648413,0.4762258409,0.322031636,0.162067075,0.1046859697,0.1637350477,0.3416821205,0.4482048647,0.1177176302,0.013458938,0.1335761458,0.3998233466,0.136261362,0.0300951003,0.1294439209,0.2576604627,0.3922322703,0.411654289,0.4080782933,0.4080782933,0.6770067765,1.3301146152,0.7488127345,1.4711917173,0.7715149566,1.515794753,0.7687232939,1.5103099758,0.7481916996,1.4699715705,1.5088899396,1.546571667,1.5081079287,1.439921878,1.2595278031,52,16,0.9514859136,52,11,0.9773696738,45,24,0.8459051694,42,22,0.85183542,8.6332491682987E-05,0.0001113395,0.0001376561,0.0001422747,0.0001112829,6.57899296196258E-05,1.5394309430554E-05,-5.0788844692643E-05,-0.0001056079,0.000106348,0.0001804424,0.000193184,0.0001799854,0.0001359601,8.30476261533722E-05,4.73381414846684E-05,2.56906646162091E-05,-2.74754468120969E-05,-2.4134585538045E-05,-2.06855655869625E-05,-1.8406729350104E-05,-1.60532680050492E-05,-1.29155928206111E-05,-9.59191832801274E-06,-1.29155928206111E-05,-1.64189450193913E-05,-1.87629487154562E-05,-2.11976590278594E-05,-2.4598590177683E-05,-2.63718730388693E-05,-2.08568996425734E-05,-1.85850672923247E-05,-1.62362414121915E-05,-1.10642146798002E-05,-1.62362414121915E-05,-1.85850672923247E-05,-2.10276017247099E-05,0
3,1.3292362254,1.0259295656,0.7618876448,0.5537825566,0.4457733557,0.4779344502,0.6032547654,0.7621253632,0.9194040828,0.9042563564,0.7559203878,0.5788908126,0.4387077053,0.4320507774,0.5576939594,0.7741522179,1.0505302485,1.3577193619,0.4952450291,0.32413415,0.1477421165,0.0095169063,0.1504755015,0.327054963,0.5047550366,0.3711593471,0.2779523247,0.2386827966,0.2644261764,0.3745600928,0.420470665,0.1449571986,0.0767277518,0.1595324207,0.4282607851,0.1595324207,0.0767277518,0.1575328305,0.2481705547,0.3826324496,0.3613750913,0.3528765888,0.3733584271,0.5769359525,2.0308728282,0.5824569965,2.0503074608,0.5325722046,1.8747079545,0.511214053,1.7995251035,0.5731936257,2.0176994601,2.0607484927,1.8110330888,1.8662150521,2.0092623717,1.9359779467,52,1,0.9998150717,52,25,0.8768471627,45,21,0.8844332774,46,22,0.8782178207,7.25484744211037E-05,0.000101985,0.0001429296,0.0001861573,0.0001865148,0.0001149283,2.30248503328203E-05,-4.85524328035942E-05,-9.63927401120601E-05,6.08928800081742E-05,0.0001959298,0.0002735904,0.0002018529,0.0001210544,6.62572933132109E-05,3.86932536268757E-05,2.20296317871776E-05,-2.02785281104802E-05,-1.76737713532181E-05,-1.46739310687166E-05,-1.21700835430967E-05,-9.59130737644258E-06,-6.28624085974671E-06,-0.000003021,-5.93914792847841E-06,-9.07041831304169E-06,-1.18296313046828E-05,-1.45101899006209E-05,-1.78250622220384E-05,-1.91528249894531E-05,-1.45101899006209E-05,-0.000012,-9.41779723056363E-06,-4.38548300085209E-06,-9.41779723056363E-06,-0.000012,-1.46739310687166E-05,0
4,1.4764262219,1.1686770886,0.8730974027,0.6233795359,0.4997807605,0.502696092,0.5632865773,0.6712377789,0.8532908132,0.8412756764,0.7052098933,0.5993989521,0.5306026865,0.5306026865,0.64699839,0.874658099,1.1548411412,1.4533499271,0.5156111389,0.373631616,0.2164676794,0.1283109958,0.2250723757,0.3629183009,0.4845393411,0.3543618675,0.2173658894,0.1680813479,0.2304192583,0.381245683,0.455736826,0.1591502031,0.0197401532,0.1560596137,0.41559938,0.1509831395,0,0.1579212256,0.2962667536,0.3613750913,0.340117733,0.3385153747,0.3391758931,0.5331892146,1.832048412,0.5746705055,1.9745789267,0.5548464929,1.9064632375,0.5462222385,1.8768301334,0.6205734216,2.1323022306,2.0789344303,1.8037258841,1.8751918472,1.9929577246,1.9573663307,50,14,0.96,50,16,0.9474175426,43,22,0.8592071257,46,22,0.8782178207,7.0433078367858E-05,9.83514424878232E-05,0.0001390474,0.0001829838,0.0001711379,0.0001029412,2.5965876510619E-05,-4.83856990168796E-05,-0.000100063,7.03746845272763E-05,0.0001737596,0.0002232256,0.0001960566,0.0001298841,7.67636148258986E-05,4.54031177350936E-05,2.6588454580341E-05,-1.82692981195621E-05,-1.60839283958913E-05,-1.27817464770311E-05,-1.01310707275375E-05,-7.7597723008059E-06,-0.000004361,-1.85712204501231E-06,-4.19226572740387E-06,-7.24893472176698E-06,-9.9628302631677E-06,-1.27817464770311E-05,-1.5932580953297E-05,-0.000017415,-1.27817464770311E-05,-1.01310707275375E-05,-7.5895342364075E-06,-3.01763535185265E-06,-7.5895342364075E-06,-1.01310707275375E-05,-1.27817464770311E-05,0
5,1.4841984569,1.1905691181,0.9582198669,0.7914382297,0.6745212037,0.632455532,0.6422878178,0.7412179675,0.907273357,0.8951146832,0.7361694137,0.6444987979,0.6510866911,0.7046830771,0.8160255705,0.972833608,1.1980055192,1.4820468612,0.4999038739,0.3107703962,0.1736152441,0.0794057127,0.1753778806,0.3129893324,0.5001345455,0.3161669705,0.1799226627,0.1230772928,0.1824688647,0.3233808334,0.4212721256,0.1361298428,0.0124010889,0.1413941677,0.4209982461,0.1318253829,0,0.1413941677,0.2024456392,0.1991415587,0.1967373471,0.1972385896,0.1964285714,0.5728467739,1.9276617515,0.5685298565,1.9131350807,0.5124289062,1.724352214,0.4915909001,1.6542311467,0.5903124333,1.9864346822,1.9545395159,1.6781477215,1.7961256681,1.9927960144,2.0290031869,57,9,0.9874559494,57,14,0.9693677041,57,24,0.9070362073,56,25,0.8948192726,6.92540642610628E-05,9.0286910460247E-05,0.0001106454,0.0001205752,0.0001127266,8.00686657833804E-05,2.49044594196369E-05,-0.000035599,-0.000082754,7.23102431142533E-05,0.0001498356,0.0001581749,0.0001364181,0.0001034392,7.26954001307755E-05,4.69911965167586E-05,2.88748287722654E-05,-0.000025832,-2.22063653316255E-05,-0.000018647,-1.57968662684958E-05,-1.28517814580537E-05,-9.07556606054023E-06,-4.78043159698213E-06,-9.27389100738738E-06,-1.30499193746104E-05,-1.61836130813407E-05,-1.92007916210476E-05,-2.25432819600017E-05,-2.44806862106067E-05,-1.88323117430074E-05,-1.57968662684958E-05,-1.28517814580537E-05,-6.51760754350192E-06,-1.30499193746104E-05,-1.59904596559231E-05,-1.9016900204625E-05,0
6,1.0799707219,0.8365569898,0.6364610667,0.4956872942,0.4523103326,0.5146472175,0.6152915919,0.7353706996,0.8678023402,0.8843833803,0.7387061241,0.6234872504,0.518171181,0.4591060516,0.5039908416,0.658162562,0.8702270921,1.1194252222,0.5124090697,0.3212261802,0.1358435982,0.0479447994,0.1466915865,0.3166212663,0.4877007166,0.3505038471,0.2461633318,0.2158995242,0.2507889346,0.368704201,0.4565957324,0.12634564,0.0479447994,0.1395533206,0.4235123944,0.1501334995,0.0799079989,0.1507701109,0.2638174415,0.2884615385,0.2891018534,0.3073846029,0.3073846029,0.5740741329,2.0635177564,0.5190714311,1.8658097509,0.4669767763,1.6785547624,0.4679240986,1.681959926,0.5702904994,2.0499174312,1.9271957633,1.6299566465,1.7622285318,2.0485957423,2.1892098514,62,7,0.9936059891,62,26,0.9078224051,49,18,0.930083989,47,19,0.9146461813,7.06242869103922E-05,9.6311124396691E-05,0.0001220483,0.0001318951,0.0001079182,0.000055719,9.31062563605539E-07,-4.12017944615939E-05,-7.28628551189019E-05,3.64301295051572E-05,0.0001162712,0.0001781183,0.0001690877,0.0001190076,7.25788238046588E-05,4.43653323792954E-05,2.61134520438258E-05,-0.000021088,-1.80457278036253E-05,-0.000014399,-1.20407915519205E-05,-0.000009442,-5.6645334193891E-06,-0.000002138,-5.50133643545267E-06,-9.11376530474728E-06,-1.18803583116067E-05,-1.45524317437364E-05,-1.80457278036253E-05,-2.02535666745765E-05,-0.000014399,-1.20407915519205E-05,-9.27794042557237E-06,-0.000003402,-9.27794042557237E-06,-1.20407915519205E-05,-1.45524317437364E-05,0
7,1.4853934063,1.1766054497,0.8890793267,0.6845435543,0.5689432245,0.5425392626,0.5810198521,0.7049727912,0.8789519641,0.8736193455,0.7117544959,0.5810198521,0.5161383653,0.5353272333,0.6416689306,0.852979754,1.1036350423,1.3832091434,0.5140186916,0.3609945405,0.2411866897,0.1682242991,0.246736052,0.3523005014,0.4859813084,0.3264345644,0.1814625032,0.1121495327,0.1892379134,0.3468032769,0.4300081148,0.1566640618,0.0373831776,0.1566640618,0.4023036122,0.171565979,0.0747663551,0.171565979,0.2803738318,0.3206486624,0.3206486624,0.327218646,0.3090398323,0.6186754657,1.8266442493,0.6038304895,1.7828143387,0.5541422412,1.6361093889,0.5398150505,1.5938082441,0.5887863928,1.7383965232,1.8086546246,1.5926883505,1.6331907053,1.7390909852,1.800341393,53,18,0.9405617797,53,12,0.9740309056,48,20,0.9090593429,46,19,0.9107113072,7.4119873714379E-05,9.86189025406324E-05,0.0001288545,0.0001461901,0.0001293309,7.88105018055076E-05,1.46648142374139E-05,-4.69676008949463E-05,-8.69865876529377E-05,6.19118375433383E-05,0.0001635514,0.0002065935,0.0001820504,0.0001304029,8.16546216515855E-05,5.10735383405414E-05,3.13982269843394E-05,-2.36496373771755E-05,-2.08064233889689E-05,-1.73119177208971E-05,-1.464941696963E-05,-0.000011718,-0.000008199,-5.09512429521225E-06,-8.38366724579804E-06,-0.000011718,-1.464941696963E-05,-1.76578905704735E-05,-2.08064233889689E-05,-2.23453261927068E-05,-1.74852072278746E-05,-1.464941696963E-05,-0.000011718,-6.72844519886381E-06,-0.000011718,-1.464941696963E-05,-1.74852072278746E-05,0
8,1.3269940912,1.0763419722,0.8817990557,0.7418561015,0.6421150595,0.6049968898,0.6423311871,0.7536894241,0.9083934763,0.9016067428,0.7533210069,0.6568610542,0.6715416182,0.7376343127,0.8268013833,0.9549866202,1.1267139611,1.3590074475,0.4751438485,0.3091363319,0.1888707213,0.0999687646,0.1885029104,0.3273457655,0.5249021271,0.3275577084,0.1501843779,0.0583151127,0.1531586147,0.3055232193,0.3916329429,0.1531586147,0.0583151127,0.1565202136,0.4418429658,0.1565202136,0.0589071595,0.1565202136,0.1582838773,0.1792050987,0.1792050987,0.1732737176,0.1551724138,0.5800723506,3.977715704,0.476661967,3.2686022523,0.3246904321,2.2264916252,0.2866320249,1.9655146561,0.45392637,3.112698008,3.7603830379,2.3611144334,2.3072657078,3.3062982523,4.1563705196,60,12,0.9797958971,60,7,0.9931711277,57,19,0.9428090416,62,20,0.9465419839,6.84994527049269E-05,8.8537846924393E-05,0.0001068517,0.0001149327,0.0001071222,7.64836937453633E-05,2.62265515284301E-05,-2.42937882518711E-05,-6.64444608129846E-05,4.35347520605688E-05,0.0001080366,0.0001272969,0.0001189023,0.0001015501,7.9453147086584E-05,5.83404913245147E-05,0.000040305,-1.89445694064045E-05,-1.54567663769791E-05,-1.19966045131731E-05,-8.74016173448657E-06,-5.61387584799334E-06,-1.35177947608325E-06,3.2410802709485E-06,-1.16157075018825E-06,-5.41819868885544E-06,-8.74016173448657E-06,-1.19966045131731E-05,-1.54567663769791E-05,-1.73346692130306E-05,-1.19966045131731E-05,-8.74016173448657E-06,-5.41819868885544E-06,1.44926214564247E-06,-5.41819868885544E-06,-8.93437043739354E-06,-1.19966045131731E-05,0
9,1.3179026056,1.0691887614,0.8584561671,0.7080924926,0.6217782647,0.6126733818,0.6107839183,0.6497999202,0.821444353,0.8285461006,0.6712806984,0.5989229073,0.5179134641,0.4725211166,0.5534053425,0.7478413201,0.9916751934,1.245638065,0.5268403754,0.4112797785,0.3114655057,0.2499900357,0.3118491628,0.3843283106,0.4731954247,0.3716755121,0.2501494173,0.2053489579,0.2553532084,0.4045378313,0.4731954247,0.1785643112,0.1071385867,0.1715054203,0.4107949501,0.1365754361,0.0357128622,0.1541248969,0.4553389935,0.3206243908,0.3405877273,0.3468889595,0.3666603797,0.5805619697,1.8034260947,0.5751596281,1.7866445549,0.5538550113,1.7204650534,0.5601030758,1.7398737005,0.60845291,1.8900649933,1.6724741586,1.6033573267,1.7290525271,1.8372456826,1.7170070494,56,28,0.8660254038,56,23,0.9117641008,48,22,0.8887803753,44,23,0.8524999697,7.63671981688225E-05,9.33455682516174E-05,0.000104196,9.58030743696859E-05,0.000068237,3.31774426857603E-05,-7.19710273432327E-06,-5.07682113100477E-05,-8.21833373283567E-05,7.82396694984241E-05,0.0001660843,0.0001975309,0.0001638829,9.79894314232667E-05,5.02290647617828E-05,2.520985934681E-05,1.04001686840903E-05,-2.44654451181921E-05,-2.26148879054272E-05,-1.96263469091891E-05,-1.75086592156228E-05,-1.55624204728619E-05,-1.2260155685239E-05,-9.94893100836353E-06,-1.21153666696335E-05,-1.52791584449666E-05,-1.75086592156228E-05,-0.000019754,-2.27247817161119E-05,-2.38792616369556E-05,-1.96263469091891E-05,-1.75086592156228E-05,-1.54209243879725E-05,-1.09577608788545E-05,-1.54209243879725E-05,-1.75086592156228E-05,-0.000019754,0
10,1.4170431575,1.1162411679,0.8506248743,0.64813224,0.5560056821,0.5493548611,0.5841126252,0.6760337844,0.8582910491,0.8215981759,0.6591629227,0.5710581808,0.5361573053,0.5635821876,0.6509617332,0.8582910491,1.1225140089,1.4139802845,0.5242471376,0.3543189828,0.1782203362,0.0485414016,0.1831754668,0.337004602,0.4758047897,0.337004602,0.1831754668,0.1164993639,0.1965776941,0.3560438186,0.4563924432,0.1580393537,0.0485414016,0.1580393537,0.3981578694,0.1658951669,0.0485414016,0.1658951669,0.1650407655,0.3095238095,0.2857142857,0.2790697674,0.2800370832,0.5850706729,2.109502311,0.5517672656,1.9894251682,0.5062114183,1.8251712248,0.5,1.8027756377,0.5581563057,2.0124611797,1.7413987099,1.6457127845,1.725244065,1.9063570494,1.9013501936,51,5,0.9951825522,51,12,0.9719242142,44,20,0.8907235428,42,20,0.8793421577,7.03525046458743E-05,9.74957490762323E-05,0.0001341559,0.0001691155,0.0001682301,0.0001270158,5.81465494380144E-05,-0.000027047,-9.78577084201816E-05,5.66440546204946E-05,0.0001627032,0.0002081599,0.0001933388,0.0001480794,9.4219402727351E-05,5.91506552979371E-05,3.77003753890264E-05,-1.75840667004463E-05,-1.48696930874482E-05,-0.000011616,-8.88968346199399E-06,-6.10893367072973E-06,-2.98170220337312E-06,-4.27571286100103E-07,-2.98170220337312E-06,-6.10893367072973E-06,-8.88968346199399E-06,-1.17833724092863E-05,-1.48696930874482E-05,-1.65563889332623E-05,-0.000011616,-8.88968346199399E-06,-6.10893367072973E-06,-1.78109689187096E-06,-6.10893367072973E-06,-8.88968346199399E-06,-0.000011616,0
