A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
1,1.173553084,0.914143941,0.6871422628,0.5433958938,0.4862265632,0.5439420205,0.6489759886,0.7564548048,0.89610201,0.9343821869,0.7941760247,0.681501852,0.5626566818,0.4803904044,0.517005929,0.6594147337,0.8833794562,1.1446067897,0.5089752641,0.3413766318,0.1672840899,0.0861556896,0.1776145042,0.3385381456,0.4911630001,0.3892292463,0.29870067,0.276236155,0.2929293446,0.3900864756,0.4483408315,0.1378491034,0.008615569,0.1467178526,0.4394784752,0.1964652,0.1381180775,0.1889541789,0.3622639292,0.3122290853,0.3129221585,0.3121118279,0.3328300799,0.570944773,1.9758299279,0.5376704294,1.8606796595,0.486643171,1.6840930802,0.497961967,1.7232632715,0.5839718051,2.0209116963,1.8492992491,1.6311082652,1.7356626169,1.9257817801,1.998021434,58,11,0.9818507603,58,31,0.8451793778,46,18,0.9202613256,44,19,0.9019606742,7.44302956699541E-05,9.99301691488491E-05,0.0001270181,0.0001305103,0.0001006421,4.60662757949769E-05,-4.42043529654947E-06,-4.44278203605701E-05,-7.4476213243136E-05,4.15000886150796E-05,0.0001255678,0.0001925525,0.0001806734,0.0001198877,6.73309473446729E-05,0.000036717,1.86898632192903E-05,-2.2667505957183E-05,-2.02598498067016E-05,-0.000017098,-1.47076203858124E-05,-1.22150633422212E-05,-8.71751870067912E-06,-5.72624732655248E-06,-8.39967863831117E-06,-1.17405608022466E-05,-1.44005888154619E-05,-0.000017098,-2.02598498067016E-05,-0.000021865,-0.000017098,-1.47076203858124E-05,-1.20570727184355E-05,-6.66236049922215E-06,-1.18989008327639E-05,-1.45542985914467E-05,-0.000017098,0
2,1.4520551875,1.1464040608,0.8996817594,0.753232601,0.6909009668,0.6909009668,0.7609980908,0.8668005147,1.0008106192,1.0252760992,0.8574529403,0.7266556152,0.6319745162,0.5957273108,0.6545098722,0.8157720481,1.0739508842,1.3620368754,0.4942651346,0.3559643142,0.2566895174,0.1923525231,0.272027547,0.3693805173,0.5059203474,0.3406859304,0.1792590483,0.1112068068,0.1848274219,0.3376973996,0.4047362779,0.1452055188,0.0711928628,0.1626566071,0.4138994102,0.1563003593,0.0503409561,0.1486550619,0.3035522084,0.3333333333,0.3316224581,0.3524031804,0.3328872317,0.5377022109,2.1195490301,0.5292144349,2.0860913709,0.4838686348,1.9073443904,0.4871715307,1.9203639572,0.5827440301,2.2970977595,2.0469791051,1.8138697464,1.8731369345,2.0030840419,1.9582052756,49,20,0.9129089488,49,10,0.9789538739,50,23,0.8879189152,46,22,0.8782178207,9.2294471660085E-05,0.000120167,0.0001451238,0.0001418349,0.0001084998,5.82305110532661E-05,4.05627974571345E-06,-3.95777373205352E-05,-7.90826312403778E-05,6.57547490034601E-05,0.0001419994,0.0001968168,0.0001978573,0.0001526247,9.91177487881306E-05,5.85118640628097E-05,3.46635314861792E-05,-3.1010941825046E-05,-2.81228762837594E-05,-0.000024494,-2.1949625915818E-05,-1.88893012264419E-05,-1.51255821358914E-05,-1.19871648698406E-05,-1.57555352162867E-05,-1.95092833459418E-05,-2.2547306422373E-05,-2.54372252952059E-05,-2.84628843338943E-05,-2.96162726158551E-05,-2.46843759453256E-05,-2.21494833287271E-05,-0.000019303,-1.38664932322326E-05,-0.000019303,-2.23487161507783E-05,-2.48739002832293E-05,0
3,1.4885974845,1.1953855668,0.9536870898,0.766332595,0.6463093583,0.6327132506,0.6801758991,0.7756132697,0.9031037667,0.9383688951,0.78961652,0.6852833426,0.6421620261,0.6683551964,0.7578350222,0.9327053753,1.1785988252,1.4599380999,0.4759404763,0.3623929966,0.2379226584,0.1525676148,0.2363950493,0.373227781,0.5242079261,0.3582454805,0.1961960503,0.1237197824,0.1980339925,0.3531528905,0.4096693801,0.1662056238,0.0578890813,0.1662056238,0.4476993894,0.1569568402,0.0300951003,0.1595324207,0.2761543196,0.2552613779,0.2797866026,0.2552812945,0.2579086155,0.5758410957,2.611670331,0.5049567835,2.2901815445,0.4212015691,1.9103180543,0.3930672521,1.7827176422,0.5153995093,2.3375434946,2.3113488821,1.7784740949,1.8761046248,2.2224418621,2.4982153707,52,17,0.9450509519,52,12,0.9730085108,48,18,0.9270248109,48,18,0.9270248109,7.31645482835318E-05,9.8190498785348E-05,0.0001242671,0.000136127,0.0001165409,6.73184002957295E-05,1.06986127098093E-05,-3.94581363169347E-05,-7.96656303781258E-05,5.5880446966778E-05,0.0001362081,0.0001678355,0.000150834,0.0001143444,7.50088547797448E-05,4.60853842917126E-05,2.71607163747064E-05,-2.44838374770042E-05,-2.23369137271744E-05,-1.91722719159957E-05,-1.64487597234603E-05,-1.37949387829105E-05,-0.000010014,-6.80580644378274E-06,-0.000010194,-1.37949387829105E-05,-1.66228052868294E-05,-1.95021107010839E-05,-2.24865783984178E-05,-2.35086619686545E-05,-1.93375239235676E-05,-1.64487597234603E-05,-1.37949387829105E-05,-8.22209652503306E-06,-1.37949387829105E-05,-1.64487597234603E-05,-1.93375239235676E-05,0
4,1.6700811378,1.3418510484,1.0354502007,0.8072076569,0.6644657681,0.5970304117,0.6569110427,0.832356198,0.988486234,1.0093422122,0.8273876434,0.6293253111,0.5377462291,0.611397108,0.7576290227,0.9793882728,1.2790462077,1.6098721589,0.53125,0.333496054,0.1773894413,0.09375,0.1773894413,0.3107590394,0.46875,0.3162963844,0.1915080866,0.1458333333,0.1990101372,0.3462660446,0.4479166667,0.1358167168,0,0.1358167168,0.3855574067,0.1370098587,0.0104166667,0.1473139127,0.2395833333,0.3528754352,0.3523321317,0.3798428489,0.3793178413,0.6465553444,2.0410758535,0.6097722251,1.9249571991,0.5320062805,1.6794620638,0.4920151399,1.5532161792,0.5316530618,1.6783470064,1.5041850916,1.5140073001,1.6569151818,1.8406618369,1.82477509,48,9,0.9822646028,48,14,0.9565200236,44,19,0.9019606742,40,19,0.8799857953,0.000081401,0.0001067995,0.0001401277,0.0001672899,0.000166623,0.000124086,4.19007344854889E-05,-3.36536584440684E-05,-0.000089195,6.65787661361713E-05,0.0001993358,0.000264476,0.0002084883,0.0001420184,8.70326801075545E-05,5.17178430592258E-05,3.08168157255499E-05,-2.58840653055991E-05,-2.22641722431624E-05,-1.86926997467044E-05,-1.59781602745554E-05,-1.31916679989665E-05,-0.000009721,-6.27276826353842E-06,-0.000009721,-1.31916679989665E-05,-1.59781602745554E-05,-1.88974488623509E-05,-2.24546654143624E-05,-2.44861443137718E-05,-1.86926997467044E-05,-1.59781602745554E-05,-1.31916679989665E-05,-7.98965658366933E-06,-1.31916679989665E-05,-1.59781602745554E-05,-1.88974488623509E-05,0
5,1.3402663016,1.0541286982,0.7824149587,0.5680446002,0.4693795779,0.507551209,0.5921330234,0.7163511867,0.879591925,0.8551300024,0.713893714,0.601826054,0.5175861413,0.5011773537,0.5885753285,0.7943758586,1.0556727337,1.3516987772,0.5000642908,0.3525669751,0.1908763376,0.1018474861,0.1899759725,0.3370276775,0.4999785679,0.3490234985,0.2229829338,0.1851772474,0.2423276185,0.3631079822,0.4352650187,0.1576727446,0,0.140112012,0.425907669,0.140112012,0.0370354495,0.1584861949,0.2870247334,0.3399320204,0.3205602852,0.3129221585,0.3544713153,0.5475296563,2.0115986381,0.566690977,2.0819964441,0.5115153452,1.8792837245,0.5036285549,1.8503080216,0.5902389982,2.1685107849,2.3318676715,1.9655146561,2.0271659304,2.2513054143,2.1865947455,54,11,0.9790325843,54,20,0.9288841633,46,21,0.8897122578,48,24,0.8660254038,7.48996191200464E-05,0.0001020448,0.000139789,0.0001721348,0.0001513186,7.93662862498961E-05,9.64964376922645E-06,-5.08241342820602E-05,-9.452438048005E-05,8.38204059830988E-05,0.0001760531,0.0002079088,0.0001724103,0.0001144813,6.49736354614214E-05,3.75171140303814E-05,2.05669100631088E-05,-2.20817577678983E-05,-1.97850779547347E-05,-1.66545026739965E-05,-1.41052354674336E-05,-1.16341932726493E-05,-8.29343274374091E-06,-5.15540129307537E-06,-8.29343274374091E-06,-1.14677500768128E-05,-1.41052354674336E-05,-1.6964455695439E-05,-1.97850779547347E-05,-2.11648928198387E-05,-1.68097540646207E-05,-1.41052354674336E-05,-1.16341932726493E-05,-6.46692389560812E-06,-1.16341932726493E-05,-1.41052354674336E-05,-1.68097540646207E-05,0
6,1.5198132241,1.1957044232,0.9199194846,0.7080071722,0.5917605136,0.5554800449,0.6647704327,0.8266633328,0.9862615416,1.0060868056,0.8387134319,0.662850976,0.5545234744,0.582355408,0.6949901115,0.8841349599,1.1749220005,1.4918551434,0.474112151,0.3503479446,0.2627104421,0.2071148981,0.280308661,0.3884344104,0.5259258539,0.3812609986,0.233160854,0.164869621,0.2114276121,0.3389489457,0.39170091,0.1339565671,0.0424859289,0.1699437155,0.4329054086,0.1677426864,0.02304123,0.1274577866,0.3715286702,0.291413813,0.2713979472,0.2980247567,0.2980247567,0.5537526352,1.6857707603,0.5661516189,1.7235165747,0.5553176482,1.6905350772,0.5615340841,1.7094595669,0.6396597105,1.9472948171,1.7804460892,1.5977710148,1.686856994,1.7345533326,1.6776581679,48,20,0.9090593429,48,16,0.9428090416,45,20,0.8958064165,44,21,0.8787552241,8.67681870112789E-05,0.0001158861,0.0001499171,0.0001683124,0.0001418056,8.00437799541275E-05,7.73974236157981E-06,-4.39756383714793E-05,-8.5528541207429E-05,8.24877188007109E-05,0.0001842711,0.0002337635,0.0001857646,0.0001217957,6.96170609329299E-05,3.78985046311687E-05,2.02228257941058E-05,-2.87286481187652E-05,-2.63006377623968E-05,-0.000023087,-2.07233523961928E-05,-1.8071640964398E-05,-1.437580305066E-05,-1.12531905536557E-05,-1.437580305066E-05,-1.8071640964398E-05,-2.10941060807528E-05,-2.36152083631494E-05,-2.64603925335711E-05,-2.75495123024603E-05,-2.32638420903055E-05,-0.000020909,-1.8071640964398E-05,-1.30063569942549E-05,-1.8071640964398E-05,-0.000020909,-2.32638420903055E-05,0
7,1.2866842693,1.0224798375,0.7980565442,0.6223939601,0.5182336947,0.5065427087,0.5826247978,0.7210612629,0.9026835382,0.9002555338,0.740762429,0.5964979846,0.4942647802,0.4711148045,0.5723179251,0.7366037299,0.969546269,1.2339126839,0.5002111527,0.3492231936,0.2300315689,0.157743087,0.2261595572,0.3417766885,0.4998271723,0.3492231936,0.216974186,0.1674265248,0.2121419901,0.3452420518,0.4210132197,0.1413072695,0.0087635048,0.142659523,0.4210132197,0.1530480323,0.0277126356,0.1340558465,0.3247230363,0.2884615385,0.2884615385,0.2945441189,0.3134845336,0.6022632256,1.9434241141,0.5738924419,1.8518753314,0.520282902,1.6788844063,0.5039360355,1.6261352211,0.5738924419,1.8518753314,1.9187741927,1.6629813011,1.6964856439,1.8203755161,1.9032578169,57,18,0.948829283,57,19,0.9428090416,45,18,0.916515139,45,19,0.906492358,7.55113929075456E-05,9.89425661236552E-05,0.0001228301,0.0001328533,0.0001133891,6.26212337597523E-05,2.33230711820132E-06,-0.000045529,-7.67765631398047E-05,6.2180187887141E-05,0.000151501,0.0001992731,0.0001729205,0.0001169674,7.06454779503508E-05,4.01741042160627E-05,2.18333722643664E-05,-2.32422258112854E-05,-2.05618263034059E-05,-1.72219001123163E-05,-1.43005396230515E-05,-1.16224801827503E-05,-7.82056240627559E-06,-4.08745101445425E-06,-7.45988642743381E-06,-1.10805192737771E-05,-1.39476279050164E-05,-1.68867542917151E-05,-2.02594502752997E-05,-2.20174699983991E-05,-1.70546502862417E-05,-1.43005396230515E-05,-0.000011442,-5.67020299219559E-06,-1.12613172097768E-05,-1.41242807293231E-05,-1.68867542917151E-05,0
8,1.5073126303,1.1768590832,0.8930383749,0.6817329748,0.5788128238,0.5423261445,0.6039981916,0.7589722366,0.94128777,0.9246869046,0.7566934632,0.6223920223,0.5585038993,0.5622597226,0.6502106429,0.8417723445,1.1268685388,1.4415393224,0.5211138388,0.3653946111,0.2434240369,0.1665496981,0.2423130131,0.3439399036,0.4789131426,0.3280385377,0.1960208586,0.136647075,0.1910009988,0.3453491784,0.4374532586,0.1572153798,0.0311672542,0.1314126822,0.3969663701,0.1675189577,0.0727235931,0.1582418241,0.3028912664,0.3338453664,0.3142772292,0.3389171947,0.3395030503,0.6227444507,1.7919740496,0.6001972063,1.72709338,0.5574667979,1.6041347847,0.544037068,1.565490157,0.5947502086,1.7114194091,1.7400069854,1.5802650313,1.6209948517,1.7630335484,1.85198117,48,16,0.9428090416,48,13,0.9626262543,44,18,0.9124936318,44,18,0.9124936318,8.85822182852347E-05,0.0001197676,0.0001564313,0.0001778414,0.0001543887,9.57439043763122E-05,9.70575055395055E-06,-5.7934358716307E-05,-9.78938686577749E-05,6.79514471402591E-05,0.0001827842,0.0002388108,0.0002207462,0.0001637723,0.0001025453,6.05624929672253E-05,0.000035911,-2.25670646871086E-05,-1.95823651305535E-05,-1.57342167485349E-05,-1.27482988832856E-05,-9.91076335417356E-06,-5.95985025712497E-06,-2.50745163190096E-06,-5.74156011110819E-06,-9.03190545414604E-06,-1.20973960022759E-05,-0.000015314,-1.89944623836589E-05,-0.000021108,-1.57342167485349E-05,-1.25316698898875E-05,-9.91076335417356E-06,-4.22160161070338E-06,-9.47147826593791E-06,-1.25316698898875E-05,-1.5524406489998E-05,0
9,1.5611341349,1.2607649194,0.9951528516,0.8079172557,0.6861785968,0.6517909892,0.6814645005,0.7749623038,0.9292654295,0.9272133135,0.7504353853,0.6475809918,0.6502905475,0.7023593001,0.8160378357,0.9967221849,1.2371839824,1.5260430098,0.4748227846,0.2938595308,0.168311057,0.0815019697,0.2035150714,0.3494368123,0.5253187164,0.3377808854,0.1888252553,0.1299980087,0.20012695,0.3260078788,0.3964529652,0.1202387648,0.0197671312,0.1680206149,0.4451995041,0.1485825707,0.0197671312,0.1415111235,0.2112864997,0.244932083,0.223745526,0.2455423798,0.2446942171,0.5646123043,1.7588661113,0.6020988979,1.8756434092,0.5608124842,1.747029007,0.5400654741,1.6823984406,0.6223398047,1.9386973751,1.9651901912,1.7199608513,1.7924480837,1.8798113834,1.7585682724,50,9,0.9836666102,50,12,0.970772888,50,23,0.8879189152,50,24,0.877268488,8.2262241542539E-05,0.0001078642,0.000136601,0.0001529073,0.0001427247,0.0001004763,3.32253656768737E-05,-3.80601532278387E-05,-9.87690585221738E-05,9.47620553912217E-05,0.0001912111,0.0001978836,0.0001675486,0.0001247036,8.37803938357549E-05,0.000052422,3.14334295918588E-05,-2.85831973083046E-05,-2.5209898299404E-05,-2.20419450158456E-05,-1.94766196882954E-05,-1.62054723775699E-05,-0.000012665,-8.93370369775694E-06,-0.000013291,-1.70316903961364E-05,-2.02767546977427E-05,-2.31872837774164E-05,-2.59178220243351E-05,-2.72851167838891E-05,-2.22347086797288E-05,-1.94766196882954E-05,-1.64124257272976E-05,-1.05839283716067E-05,-1.6825551906688E-05,-1.98777697865128E-05,-0.000022618,0
10,1.1496450787,0.8913916357,0.6773946542,0.5421890568,0.5187776088,0.6068144777,0.7330086805,0.8536850163,1.010361174,1.0187795643,0.8858994576,0.763524848,0.6685233572,0.6179156629,0.6540923853,0.7723769478,0.9841430603,1.2437047335,0.4862588001,0.3677802771,0.2692800879,0.2053833617,0.2756771813,0.3717869732,0.5137977687,0.344280188,0.199790722,0.1310314932,0.1915506478,0.3485571245,0.4202060469,0.1683000549,0.0938216927,0.1793311611,0.430350235,0.1403449522,0.028006822,0.1505321454,0.3362115008,0.3333333333,0.3562352499,0.3479913142,0.3479913142,0.5852581275,1.5563617623,0.6117973757,1.6269368968,0.6080091202,1.6168628872,0.6203527586,1.6496880048,0.6635426201,1.7645416834,1.7766634426,1.6703796502,1.6784148254,1.7135031788,1.7025967535,53,22,0.9097783737,53,14,0.9644813524,39,17,0.8999963474,43,20,0.8852495958,9.97827216475367E-05,0.0001337092,0.0001620725,0.0001497441,9.58234205656886E-05,3.73785198106155E-05,-9.13560560760083E-06,-4.38446402600736E-05,-6.96329095843451E-05,5.99266779469825E-05,0.0001197009,0.000159751,0.0001632223,0.0001308199,8.90280591883097E-05,5.38477624424927E-05,3.08932984756925E-05,-2.55085164094187E-05,-2.29255316385326E-05,-1.93179001112922E-05,-1.62024177975293E-05,-1.3371379188601E-05,-9.06219253275335E-06,-5.0314465408805E-06,-8.85768226135982E-06,-1.27573835001E-05,-1.60027508861027E-05,-1.91282781911245E-05,-2.27544598741353E-05,-2.44153173991262E-05,-1.91282781911245E-05,-1.60027508861027E-05,-1.31669036709327E-05,-6.82694025470229E-06,-1.31669036709327E-05,-1.62024177975293E-05,-1.93179001112922E-05,0
